UF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
11,44,46,47,50,52,54,55,56,59,61,64,64,66,66,66,67,66
12,23,23,23,24,25,29,29,29,30,31,33,29,33,38,38,39,43
13,25,24,23,25,28,30,32,34,35,36,38,37,38,38,38,37,36
14,22,25,23,23,22,22,25,28,34,36,36,32,32,34,35,36,37
15,27,27,28,29,30,31,33,35,37,40,42,45,48,49,51,49,48
16,14,17,17,21,23,24,24,26,27,29,30,31,32,34,36,35,35
17,30,28,29,30,31,34,36,38,39,42,44,43,47,50,52,53,52
21,24,23,22,23,24,26,28,29,31,33,34,37,39,41,43,43,45
22,29,29,29,32,35,37,39,40,41,44,46,48,50,52,53,53,54
23,27,29,30,32,35,35,38,40,43,45,49,52,56,57,58,57,58
24,28,28,29,30,34,36,39,40,44,47,51,53,56,58,60,60,60
25,33,32,33,35,38,39,43,45,47,49,52,53,56,56,58,56,58
26,29,31,31,33,34,36,39,41,45,47,50,51,52,54,54,52,50
27,22,23,26,29,31,34,36,39,42,48,53,55,57,56,55,53,54
28,19,21,23,25,26,26,28,29,32,33,36,38,41,43,45,42,42
29,21,23,23,24,26,27,30,32,34,36,39,40,42,43,45,43,43
31,41,41,42,43,45,46,48,49,51,52,54,56,58,58,58,57,57
32,44,44,45,45,46,48,51,54,58,58,61,65,67,67,67,63,62
33,49,50,49,50,51,53,55,55,57,58,61,61,62,62,62,61,59
35,49,50,50,51,53,54,55,56,57,58,59,60,61,62,61,59,59
41,44,45,45,47,49,50,52,54,55,56,58,61,62,64,63,61,61
42,42,42,44,46,48,50,52,53,55,56,58,59,61,61,60,58,58
43,41,42,43,45,47,49,51,52,54,56,58,60,62,63,63,61,62
50,43,43,44,47,48,48,51,53,53,54,56,58,60,61,62,61,61
51,45,45,46,47,48,50,50,51,53,55,56,58,61,61,61,60,61
52,45,46,45,46,48,50,52,55,57,59,62,63,66,67,68,66,67
53,40,42,43,44,46,48,49,52,52,52,52,53,54,55,55,55,55
