CIR,2007,2008,2009,2010,2011,2012,2013,2014,2015
11001,93,76,73,77,77,83,93,110,125.3
11002,77,64,55,57,58,63,69,73,73.5
11003,165,137,124,129,138,145,157,167,159.2
11004,124,116,121,128,133,142,153,162,153.8
11005,56,54,57,59,62,66,72,79,82.9
11006,72,71,63,58,58,70,75,87,91.8
11007,25,15,15,15,16,17,19,21,17.2
12001,33,33,36,33,35,37,40,43,48.5
12002,187,190,212,197,198,220,236,242,252.6
12003,97,100,109,103,100,104,115,123,123.4
13001,445,456,459,466,469,529,549,574,595.9
13002,59,59,61,64,70,77,80,86,90.0
13003,33,34,34,38,44,51,55,57,62.3
13004,37,39,40,44,48,53,56,66,68.4
13005,74,77,74,57,67,72,74,86,93.3
13006,25,26,26,30,34,35,37,38,40.0
13007,24,24,24,25,31,35,35,42,47.4
13008,21,26,31,42,49,52,59,64,66.3
13009,36,38,38,40,50,58,81,99,116.6
14001,262,239,199,184,200,245,267,289,275.7
14002,51,50,44,49,54,61,67,76,84.9
15001,194,207,219,240,250,254,268,297,311.7
15002,256,260,272,278,285,290,294,312,312.0
15003,189,203,213,232,236,248,265,282,281.0
15004,84,91,102,113,123,129,146,166,173.6
15006,203,222,232,243,254,261,278,321,339.6
15007,99,110,114,123,134,147,151,163,174.6
15008,265,294,308,334,365,395,419,440,455.6
15009,149,158,168,192,207,229,242,268,285.2
15010,53,58,59,66,71,77,80,89,101.2
15011,176,182,191,213,237,246,252,262,266.6
15012,109,116,124,133,146,153,170,194,200.3
15013,65,68,71,79,94,107,113,122,127.7
15014,81,84,91,102,117,122,127,129,127.1
16001,104,111,111,110,115,135,141,145,144.3
16002,48,49,49,53,58,61,68,73,66.3
16003,84,84,81,80,83,85,88,92,89.8
17001,67,69,73,79,86,93,100,106,117.6
17002,66,68,68,73,84,98,109,121,132.9
17003,39,40,40,42,43,46,50,55,60.8
17004,56,56,57,60,66,70,74,82,94.5
17005,68,69,73,78,85,89,95,102,110.0
17006,98,100,106,117,127,139,147,140,137.5
17007,45,44,45,50,57,60,65,68,72.7
17008,42,46,48,49,54,61,65,68,71.1
21001,88,97,103,106,110,121,128,131,131.5
21002,104,103,110,113,114,122,134,143,151.6
21003,90,98,111,117,123,135,147,161,163.3
21004,86,85,88,92,94,118,122,135,125.5
21005,97,102,111,112,119,130,137,146,155.5
21006,133,145,146,158,166,179,182,191,197.8
21007,76,81,85,86,89,100,106,112,119.0
21008,157,167,174,181,188,201,231,256,256.2
21009,147,153,152,160,170,179,196,212,216.9
21010,121,125,130,132,131,133,140,146,149.6
21011,229,236,237,242,240,247,250,258,257.5
21012,147,153,157,168,179,192,206,218,220.2
21013,124,117,122,126,131,136,141,148,157.3
21014,169,169,174,186,193,197,208,224,232.9
21015,130,122,125,141,149,163,173,180,189.5
21016,180,181,190,195,202,226,235,249,258.9
21017,81,82,85,86,89,98,98,101,104.4
21018,139,138,142,151,155,159,160,168,172.2
21019,106,102,109,117,125,133,136,148,149.3
22001,73,76,76,79,85,91,108,131,136.9
22002,133,130,127,127,128,141,168,189,191.3
22003,203,211,214,223,232,243,263,293,298.4
22004,336,346,352,364,379,400,433,477,491.3
22005,105,108,108,108,110,119,124,137,145.0
22006,62,63,62,63,66,71,94,108,111.9
22007,24,25,25,26,27,31,35,40,42.1
22008,82,84,84,86,89,94,105,112,115.7
22009,255,257,258,271,283,289,308,342,360.7
22010,97,99,98,99,102,105,115,130,132.2
22011,146,147,148,149,155,160,175,189,200.5
23001,211,216,224,235,237,267,283,302,306.8
23002,150,151,161,182,198,204,220,232,234.1
23003,146,150,156,172,180,186,201,209,209.6
23004,81,86,88,101,103,104,112,121,124.6
23005,66,69,70,76,78,79,88,95,96.3
23006,82,84,93,113,117,120,126,137,139.9
23007,43,43,44,46,48,51,56,58,59.4
23008,153,155,160,167,176,180,189,203,207.4
23009,69,72,78,89,90,91,95,130,139.0
23010,89,89,91,107,112,111,115,122,131.7
23011,214,228,245,277,295,307,322,347,348.5
23012,79,82,92,108,115,117,122,128,128.0
23013,137,140,149,164,172,176,179,190,185.2
23014,70,70,68,74,80,84,87,90,74.3
23015,116,111,120,133,138,142,154,174,176.6
23016,51,50,55,65,68,69,75,86,85.1
23017,74,77,81,85,90,94,112,118,120.9
23018,125,130,138,157,165,170,172,184,189.5
23019,100,104,110,124,132,138,147,161,171.9
23020,151,155,162,179,183,192,193,209,224.4
23021,150,171,176,185,190,190,188,189,183.8
23022,92,95,97,111,117,125,139,149,153.4
24001,181,184,196,217,227,237,250,284,301.1
24002,154,159,162,166,174,191,210,219,221.0
24003,160,155,162,185,204,210,217,231,235.4
24004,237,241,247,264,273,284,286,301,297.0
24005,102,108,112,122,141,152,163,171,170.7
24006,182,187,191,206,243,270,279,293,291.2
24007,233,234,237,250,253,263,284,298,295.1
24008,56,62,65,72,81,83,87,91,91.0
25001,487,492,495,500,508,542,516,513,504.2
25002,208,203,211,240,247,269,291,320,322.2
25003,113,111,118,144,150,163,171,191,195.1
25004,89,91,90,109,110,122,120,130,136.3
25005,87,88,94,109,109,117,129,154,165.1
25006,138,136,138,160,171,184,209,247,248.8
25007,102,105,111,139,150,165,178,203,209.8
25008,68,67,70,82,84,90,96,110,113.6
25009,100,105,112,131,143,150,162,184,186.6
25010,84,85,91,99,100,104,111,124,121.8
25011,49,50,52,63,66,74,80,90,101.3
25012,111,113,119,137,141,150,168,184,189.2
25013,38,34,37,49,55,58,63,75,80.9
25014,71,72,74,89,96,102,110,121,123.3
25015,83,86,92,108,109,126,137,154,158.4
25016,211,215,225,250,261,278,294,320,314.2
26001,105,106,109,114,121,134,142,160,167.8
26002,161,176,182,193,208,219,225,241,246.6
